checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,1.66,10000001,3973456,6026545,66,838376,298,551550,4636255
623.xalancbmk_s_ref.3387.0.23.gz,1.69,10000001,3381724,6618277,730,2991685,85,452759,3173018
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2374527,103,135098,833243
434.zeusmp_ref.1055.0.27.gz,2.29,10000001,6231088,3768913,289772,1667523,0,1145868,665750
482.sphinx3_ref.22342.0.32.gz,1.8,10000001,4427875,5572126,108983,756861,266,900901,3805115
464.h264ref_ref.4629.0.29.gz,5.75,10000001,974019,9025982,99603,485950,33,1104790,7335606
473.astar_biglakes_ref.1844.0.50.gz,2.89,10000001,2720105,7279896,242,3178642,632,1766837,2333543
471.omnetpp_ref.4797.0.95.gz,0.82,10000001,4309721,5690280,1916731,438319,169,1149826,2185235
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,279980,80,495423,7094790
400.perlbench_splitmail_ref.3196.0.22.gz,5.29,10000001,3736163,6263838,822062,2104973,0,1843064,1493739
641.leela_s_ref.15731.0.22.gz,2.38,10000001,2192587,7807414,1861038,34854,39,1939784,3971699
456.hmmer_retro_ref.18786.0.21.gz,2.37,10000001,2561770,7438231,1004,22041,28,3280823,4134335
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1061222,14305,45,2797034,1683733
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2598282,12768,21,1699664,3006102
401.bzip2_text_ref.256.0.29.gz,2.7,10000001,1720048,8279953,99923,29405,41,2577083,5573501
