checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,1.59,10000001,3973456,6026545,66,722540,1,655475,4648463
623.xalancbmk_s_ref.3387.0.23.gz,1.23,10000001,3381724,6618277,689,1752089,16,1692378,3173105
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2036142,0,473000,833829
434.zeusmp_ref.1055.0.27.gz,2.24,10000001,6231088,3768913,287052,1190181,0,1628773,662907
482.sphinx3_ref.22342.0.32.gz,1.7,10000001,4427875,5572126,109089,247952,17,1402972,3812096
464.h264ref_ref.4629.0.29.gz,5.63,10000001,974019,9025982,100665,305767,10,1284069,7335471
473.astar_biglakes_ref.1844.0.50.gz,2.72,10000001,2720105,7279896,242,2354159,60,2582342,2343093
471.omnetpp_ref.4797.0.95.gz,0.82,10000001,4309721,5690280,1922153,103686,14,1481449,2182978
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,135242,0,639438,7095593
400.perlbench_splitmail_ref.3196.0.22.gz,5.16,10000001,3736163,6263838,773324,1260086,0,2718027,1512401
641.leela_s_ref.15731.0.22.gz,2.38,10000001,2192587,7807414,1852950,14011,0,1960567,3979886
456.hmmer_retro_ref.18786.0.21.gz,2.43,10000001,2561770,7438231,1004,213093,4,3086867,4137263
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1062380,9264,0,2801341,1683354
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2598769,0,0,1712467,3005601
401.bzip2_text_ref.256.0.29.gz,2.72,10000001,1720048,8279953,99881,204139,11,2403098,5572824
