checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,1.53,10000001,3973456,6026545,66,805328,2,574690,4646459
623.xalancbmk_s_ref.3387.0.23.gz,1.18,10000001,3381724,6618277,672,2567700,15,876757,3173133
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2251233,102,258386,833250
434.zeusmp_ref.1055.0.27.gz,2.21,10000001,6231088,3768913,284210,991946,0,1833823,658934
482.sphinx3_ref.22342.0.32.gz,1.64,10000001,4427875,5572126,109174,405217,9,1243164,3814562
464.h264ref_ref.4629.0.29.gz,5.6,10000001,974019,9025982,100787,292978,10,1296958,7335249
473.astar_biglakes_ref.1844.0.50.gz,2.72,10000001,2720105,7279896,242,2654866,8,2282708,2342072
471.omnetpp_ref.4797.0.95.gz,0.82,10000001,4309721,5690280,1921293,83025,6,1502606,2183350
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,241019,0,533703,7095551
400.perlbench_splitmail_ref.3196.0.22.gz,5.27,10000001,3736163,6263838,817504,1875225,0,2075636,1495473
641.leela_s_ref.15731.0.22.gz,2.38,10000001,2192587,7807414,1866975,62830,0,1911133,3966476
456.hmmer_retro_ref.18786.0.21.gz,2.43,10000001,2561770,7438231,1004,205707,0,3095014,4136506
453.povray_ref.3144.0.30.gz,3.12,10000001,4443662,5556339,1061979,6985,0,2803640,1683735
458.sjeng_ref.2396.0.24.gz,3.16,10000001,2683164,7316837,2598865,5709,0,1706738,3005525
401.bzip2_text_ref.256.0.29.gz,2.71,10000001,1720048,8279953,99875,376231,7,2230454,5573386
