checkpoint,ipc,commit_count,vpmeas_ineligible,vpmeas_eligible,vpmeas_miss,vpmeas_conf_corr,vpmeas_conf_incorr,vpmeas_unconf_corr,vpmeas_unconf_incorr
429.mcf_ref.1121.0.28.gz,1.68,10000001,3973456,6026545,66,887836,1804,504285,4632554
623.xalancbmk_s_ref.3387.0.23.gz,1.91,10000001,3381724,6618277,821,3392772,1329,51640,3171715
649.fotonik3d_s_ref.7179.0.32.gz,1.07,10000001,6655989,3344012,1041,2494938,103,14642,833288
434.zeusmp_ref.1055.0.27.gz,2.3,10000001,6231088,3768913,289938,1869696,6,943576,665697
482.sphinx3_ref.22342.0.32.gz,1.7,10000001,4427875,5572126,107951,1098008,15298,702057,3648812
464.h264ref_ref.4629.0.29.gz,5.78,10000001,974019,9025982,99525,926491,50,664012,7335904
473.astar_biglakes_ref.1844.0.50.gz,2.85,10000001,2720105,7279896,242,4198415,9218,751309,2320712
471.omnetpp_ref.4797.0.95.gz,0.83,10000001,4309721,5690280,1918818,964793,809,622761,2183099
603.bwaves_s_2_ref.62870.0.67.gz,1.81,10000001,2129532,7870469,196,382029,1040,385607,7101597
400.perlbench_splitmail_ref.3196.0.22.gz,5.28,10000001,3736163,6263838,823607,2237316,225,1710149,1492541
641.leela_s_ref.15731.0.22.gz,2.4,10000001,2192587,7807414,1846009,636612,1423,1339112,3984258
456.hmmer_retro_ref.18786.0.21.gz,2.26,10000001,2561770,7438231,1002,1801178,24660,1532778,4078613
453.povray_ref.3144.0.30.gz,3.05,10000001,4443662,5556339,1048906,405780,5438,2409205,1687010
458.sjeng_ref.2396.0.24.gz,3.12,10000001,2683164,7316837,2591858,90076,1911,1631524,3001468
401.bzip2_text_ref.256.0.29.gz,2.68,10000001,1720048,8279953,99841,1170474,7895,1447475,5554268
